Ind_ID,Year,Locale,Sex,Species,Copula,MatingSuccess,Eggs,TotalLength,WingLength,AbdomenLength,S4Width
2020_1024_Ischnura elegans,2020,Bunkeflostrand,Male,Ischnura_elegans,0,0,NA,28.89,15.5,22.14,0.43
2020_1025_Ischnura elegans,2020,Bunkeflostrand,Male,Ischnura_elegans,1,1.995702056,NA,29.21,16.52,22.52,0.35
2020_1026_Ischnura elegans,2020,Bunkeflostrand,Female,Ischnura_elegans,1,1.441304,242,30.94,17.99,23.49,0.61
2020_1027_Ischnura elegans,2020,Bunkeflostrand,Female,Ischnura_elegans,0,0,0,32.19,18.2,24.83,0.55
2020_1028_Ischnura elegans,2020,Bunkeflostrand,Male,Ischnura_elegans,0,0,NA,29.67,15.59,23.16,0.39
2020_102_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,243,31.97,18.95,24.27,0.76
2020_1030_Ischnura elegans,2020,IKEA,Male,Ischnura_elegans,1,1.995702056,NA,33.39,17.53,25.9,0.47
2020_1031_Ischnura elegans,2020,IKEA,Female,Ischnura_elegans,1,1.441304,330,34.53,19,26.67,0.63
2020_1032_Ischnura elegans,2020,IKEA,Male,Ischnura_elegans,0,0,NA,33.44,17.4,26.04,0.48
2020_1034_Ischnura elegans,2020,Lomma_Kyrkdamm,Male,Ischnura_elegans,1,1.995702056,NA,33.53,18.15,26.04,0.45
2020_1035_Ischnura elegans,2020,Lomma_Kyrkdamm,Female,Ischnura_elegans,1,1.441304,268,31.42,18.95,24.07,0.56
2020_1036_Ischnura elegans,2020,Lomma_Kyrkdamm,Male,Ischnura_elegans,1,1.995702056,NA,31.46,17.08,24.45,0.38
2020_1037_Ischnura elegans,2020,Lomma_Kyrkdamm,Female,Ischnura_elegans,1,1.441304,548,33.53,18.83,25.94,0.57
2020_1038_Ischnura elegans,2020,Lomma_Kyrkdamm,Female,Ischnura_elegans,0,0,0,33.27,19.91,25.55,0.59
2020_103_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,31.23,17.44,24.01,0.59
2020_1040_Ischnura elegans,2020,Lomma_Kyrkdamm,Male,Ischnura_elegans,0,0,NA,31.07,17.53,24.07,0.42
2020_1041_Ischnura elegans,2020,Lomma_Kyrkdamm,Male,Ischnura_elegans,0,0,NA,31.64,17.07,24.46,0.34
2020_1042_Ischnura elegans,2020,Borgeby,Female,Ischnura_elegans,1,1.441304,326,34.24,20.59,26.29,0.71
2020_1043_Ischnura elegans,2020,Borgeby,Male,Ischnura_elegans,1,1.995702056,NA,33.44,17.66,25.84,0.49
2020_1044_Ischnura elegans,2020,Borgeby,Male,Ischnura_elegans,1,1.995702056,NA,34.28,17.83,26.61,0.55
2020_1045_Ischnura elegans,2020,Borgeby,Female,Ischnura_elegans,1,1.441304,235,32.58,20.24,24.85,0.73
2020_1046_Ischnura elegans,2020,Borgeby,Male,Ischnura_elegans,1,1.995702056,NA,32.17,18.19,24.68,0.5
2020_1047_Ischnura elegans,2020,Borgeby,Female,Ischnura_elegans,1,1.441304,320,33.86,20.39,26.13,0.63
2020_1048_Ischnura elegans,2020,Borgeby,Male,Ischnura_elegans,1,1.995702056,NA,30.5,16.48,23.74,0.42
2020_1049_Ischnura elegans,2020,Borgeby,Female,Ischnura_elegans,1,1.441304,1,34.92,20.4,26.76,0.76
2020_104_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,7,33.09,20.44,25.01,0.88
2020_1050_Ischnura elegans,2020,Borgeby,Female,Ischnura_elegans,0,0,0,33.34,18.9,25.59,0.61
2020_1051_Ischnura elegans,2020,Borgeby,Female,Ischnura_elegans,0,0,0,30.48,18.49,23.49,0.51
2020_1052_Ischnura elegans,2020,Borgeby,Male,Ischnura_elegans,0,0,NA,31.32,17.54,24.17,0.42
2020_1053_Ischnura elegans,2020,Borgeby,Male,Ischnura_elegans,0,0,NA,32.94,17.51,25.43,0.38
2020_1054_Ischnura elegans,2020,Borgeby,Male,Ischnura_elegans,0,0,NA,34.19,18.49,26.55,0.46
2020_1055_Ischnura elegans,2020,Borgeby,Male,Ischnura_elegans,0,0,NA,32.5,17.62,25.25,0.38
2020_1056_Ischnura elegans,2020,Borgeby,Male,Ischnura_elegans,0,0,NA,32.42,17.88,25.19,0.46
2020_1058_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,32.46,17.01,25.07,0.52
2020_105_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,31.76,18.31,24.35,0.66
2020_1060_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,166,34.64,20.48,26.57,0.81
2020_1061_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,34.34,18.18,26.62,0.5
2020_1062_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,327,35.02,20.77,26.87,0.72
2020_1063_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,30.41,16.67,23.56,0.41
2020_1064_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,10,35.57,21.05,27.12,0.72
2020_1065_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,32.75,17.17,25.26,0.55
2020_1066_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,279,35.24,20.53,27.01,0.67
2020_1067_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,33.41,17.87,26.02,0.44
2020_1068_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,419,35.31,20.6,27.06,0.72
2020_1069_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,33.72,17.83,26.03,0.51
2020_106_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,31.78,18.07,24.31,0.55
2020_1070_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,457,35.44,20.8,27.17,0.8
2020_1071_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,33.52,17.75,25.9,0.48
2020_1072_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,33.8,17.53,26.06,0.38
2020_1073_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,7,33.24,19.65,25.42,0.67
2020_1074_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,53,35.63,21.09,27.03,0.73
2020_1075_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,33.2,17.53,25.77,0.46
2020_1077_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,375,34.8,20.81,26.49,0.63
2020_1078_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,34.1,18.23,26.3,0.47
2020_1079_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,337,35.47,21.05,27.17,0.66
2020_107_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,4,33.01,19.37,25.24,0.84
2020_1080_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,42,34.06,20.06,26.2,0.59
2020_1081_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,31.12,16.47,24.1,0.36
2020_1082_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,33.8,18.1,26.16,0.43
2020_1083_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,0,35.43,20.42,27.34,0.66
2020_1084_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,381,35.02,20.8,26.91,0.63
2020_1085_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,34.13,18.34,26.49,0.47
2020_1086_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,33.18,17.75,25.69,0.47
2020_1087_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,355,34.51,19.69,26.44,0.68
2020_1088_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,1,1.441304,301,33.51,19.46,25.45,0.62
2020_1089_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,1,1.995702056,NA,33.15,18.62,25.46,0.45
2020_108_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,0,34.47,19.92,26.66,0.84
2020_1090_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,31.56,16.74,24.6,0.47
2020_1091_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,32.8,18.01,25.27,0.39
2020_1092_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.64,18.44,26.03,0.55
2020_1093_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.05,17.68,26.37,0.58
2020_1094_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,32.27,18.11,24.97,0.48
2020_1095_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.7,17.94,26.28,0.42
2020_1096_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,32.71,17.63,25.63,0.52
2020_1097_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,31.95,17.11,24.75,0.45
2020_1098_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,31.75,17.12,24.61,0.51
2020_1099_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.04,18.24,26.55,0.46
2020_109_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,33.33,17.98,25.78,0.55
2020_10_Ischnura elegans,2020,Habo_Gard,Female,Ischnura_elegans,0,0,0,31.03,18,23.6,0.85
2020_1100_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,32.46,17.45,25.18,0.47
2020_1102_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.39,17.12,26.57,0.55
2020_1103_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.86,17.62,26.21,0.54
2020_1104_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,33.68,18.32,26.09,0.42
2020_1105_Ischnura elegans,2020,Hoje_A_14,Male,Ischnura_elegans,0,0,NA,34.64,17.87,26.73,0.53
2020_1106_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,0,0,0,34.11,19.46,26.17,0.7
2020_1107_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,0,0,0,32.6,18.3,24.98,0.58
2020_1108_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,0,0,0,34.31,20.2,26.3,0.65
2020_1109_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,0,0,0,33.09,20.07,25.39,0.6
2020_110_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,7,32.44,20.34,24.79,0.73
2020_1110_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,0,0,0,34.48,19.98,26.41,0.55
2020_1111_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,0,0,0,32.25,19.32,24.74,0.71
2020_1112_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,0,0,0,33.94,19.44,26.1,0.6
2020_1113_Ischnura elegans,2020,Hoje_A_14,Female,Ischnura_elegans,0,0,0,33.52,18.55,25.62,0.63
2020_1117_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,32.92,17.91,25.38,0.49
2020_1118_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,18,33.1,19.83,25.41,0.64
2020_1119_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,233,33.56,18.78,25.8,0.66
2020_111_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,32.28,17.59,24.91,0.59
2020_1120_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,33.3,18.22,25.76,0.46
2020_1121_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,249,30.27,18.63,23.04,0.65
2020_1122_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,32.52,17.13,25.17,0.48
2020_1123_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,338,35.31,20.2,27.13,0.74
2020_1124_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,32.75,17.43,25.27,0.45
2020_1125_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,0,0,0,32.68,19.48,24.97,0.61
2020_1126_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,0,0,0,33.03,20.41,25.14,0.67
2020_1127_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,0,0,NA,32.93,18.61,25.64,0.46
2020_1128_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,0,0,NA,33.56,18.69,25.89,0.51
2020_1129_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,0,0,NA,32.8,17.49,25.52,0.47
2020_112_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,102,33.22,20.44,25.46,0.85
2020_1130_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,0,0,NA,35.02,17.99,27.17,0.51
2020_1131_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.99,18.36,26.29,0.51
2020_1132_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,27,33.08,20.44,25.2,0.67
2020_1133_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,362,35.5,20.65,27.06,0.65
2020_1134_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.72,17.89,26,0.43
2020_1135_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,34.53,17.99,26.82,0.48
2020_1136_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,180,34,19.8,25.91,0.68
2020_1137_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,321,34.67,20.14,26.71,0.67
2020_1138_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.26,17.82,25.75,0.45
2020_1139_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.34,17.82,26.05,0.55
2020_113_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,32.23,17.2,24.76,0.6
2020_1140_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,200,34.47,19.86,26.48,0.68
2020_1141_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,384,35.41,20.2,27.06,0.7
2020_1142_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.75,18.1,26.09,0.46
2020_1143_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.27,17.77,25.67,0.48
2020_1144_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,216,32.82,18.74,25.18,0.6
2020_1145_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,34.21,19.05,26.48,0.43
2020_1146_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,52,36.64,21.06,28.05,0.72
2020_1148_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,279,34.07,20.43,26,0.63
2020_1149_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.32,17.74,25.74,0.44
2020_114_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,32.13,16.86,24.78,0.63
2020_1150_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,246,32.98,19.01,25.28,0.59
2020_1151_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,34.35,18.14,26.63,0.42
2020_1152_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,310,35.4,20.4,27.34,0.7
2020_1153_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,352,34.46,19.35,26.6,0.76
2020_1154_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.1,17.06,25.64,0.46
2020_1155_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,340,34.37,19.38,26.28,0.74
2020_1156_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,31.39,16.85,24.29,0.38
2020_1157_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,31.89,17.47,24.71,0.38
2020_1158_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,134,33.78,18.86,25.86,0.66
2020_1159_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.06,17.59,25.88,0.53
2020_1160_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,432,35.57,20.07,27.02,0.71
2020_1161_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,33,34.06,19.86,26.06,0.72
2020_1162_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,1,1.995702056,NA,33.87,17.93,26.15,0.46
2020_1163_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,1,1.441304,270,35.43,20.4,27.24,0.71
2020_1165_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,32.65,17.62,25.09,0.45
2020_1166_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,33.84,17.49,26.45,0.48
2020_1167_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,32.69,17.15,25.38,0.42
2020_1168_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,33.58,17.92,25.88,0.49
2020_1169_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,33.37,17.66,25.57,0.45
2020_116_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,31.79,16.78,24.33,0.57
2020_1170_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,33.23,17.58,25.75,0.45
2020_1171_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,33.37,18.13,25.77,0.49
2020_1172_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,33.31,17.58,25.62,0.43
2020_1173_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,34.32,17.88,26.79,0.46
2020_1174_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,33.42,18.63,25.94,0.49
2020_1175_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,32.59,17.78,25.33,0.55
2020_1176_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,34.26,18.02,26.62,0.5
2020_1177_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,31.64,17.17,24.59,0.46
2020_1178_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,34.68,18.38,27.02,0.44
2020_1179_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,34.55,17.97,26.71,0.47
2020_117_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,0,32.78,19.3,25.16,0.73
2020_1180_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,32.28,18.69,24.98,0.42
2020_1181_Ischnura elegans,2020,Vombs_Vattenverk,Male,Ischnura_elegans,0,0,NA,32.59,17.02,25.3,0.46
2020_1183_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,34.09,19.25,26.1,0.58
2020_1184_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,31.85,18.73,24.26,0.55
2020_1185_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,33.35,20.24,25.53,0.55
2020_1186_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,33.49,19.5,25.93,0.55
2020_1187_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,34.9,21.76,26.65,0.6
2020_1188_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,35.15,20.97,27.01,0.59
2020_118_Ischnura elegans,2020,Genarp,Male,Ischnura_elegans,1,1.995702056,NA,33.01,18.17,25.48,0.51
2020_1190_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,33.39,20.49,25.54,0.5
2020_1191_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,35.47,20.16,27.28,0.68
2020_1193_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,32.8,19.71,24.92,0.61
2020_1194_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,34.34,20.01,26.54,0.58
2020_1195_Ischnura elegans,2020,Vombs_Vattenverk,Female,Ischnura_elegans,0,0,0,32.57,20.12,24.97,0.61
2020_1196_Ischnura elegans,2020,Ilstorp,Female,Ischnura_elegans,0,0,0,35.29,20.53,26.86,0.59
2020_1197_Ischnura elegans,2020,Ilstorp,Female,Ischnura_elegans,0,0,0,31.25,19.32,23.89,0.58
2020_1198_Ischnura elegans,2020,Ilstorp,Female,Ischnura_elegans,0,0,0,32.38,18.88,24.82,0.59
2020_1199_Ischnura elegans,2020,Ilstorp,Female,Ischnura_elegans,0,0,0,31.99,18.79,24.59,0.55
2020_119_Ischnura elegans,2020,Genarp,Female,Ischnura_elegans,1,1.441304,1,33.29,19.6,25.59,0.81
2020_11_Ischnura elegans,2020,Habo_Gard,Female,Ischnura_elegans,0,0,0,33.27,20.26,25.37,0.8
2020_1200_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,0,0,NA,30.42,16.5,23.56,0.34
2020_1201_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,0,0,NA,30.63,17.16,23.79,0.4
2020_1202_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,0,0,NA,32.73,18.19,25.91,0.55
2020_1203_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,0,0,NA,30.26,17,23.46,0.4
2020_1204_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,0,0,NA,33.62,17.66,26.19,0.48
2020_1205_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,0,0,NA,33.44,17.63,26.01,0.42
2020_1206_Ischnura elegans,2020,Ilstorp,Female,Ischnura_elegans,1,1.441304,362,32.95,19.98,25.35,0.67
2020_1207_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,1,1.995702056,NA,31.75,17.09,24.5,0.43
2020_1208_Ischnura elegans,2020,Ilstorp,Female,Ischnura_elegans,1,1.441304,359,32.79,19.38,25.03,0.62
2020_1209_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,1,1.995702056,NA,33.64,18.2,26.04,0.43
2020_1210_Ischnura elegans,2020,Ilstorp,Female,Ischnura_elegans,1,1.441304,40,33.72,19.82,25.77,0.72
2020_1211_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,1,1.995702056,NA,34.71,18.46,26.92,0.51
2020_1212_Ischnura elegans,2020,Ilstorp,Female,Ischnura_elegans,1,1.441304,0,32.41,19.09,24.98,0.63
2020_1213_Ischnura elegans,2020,Ilstorp,Male,Ischnura_elegans,1,1.995702056,NA,32.15,17.43,25.01,0.39
2020_1214_Ischnura elegans,2020,Ilstorp,Female,Ischnura_elegans,1,1.441304,274,33.59,20.09,25.68,0.59
